ntrees,lr,folds,block,image
100,0.075,F6,0.21926807986449726,0.36355388503661457
100,0.075,F7,0.2767192695413522,0.0950684336302412
100,0.075,F8,0.2588661401478948,0.19317220543806646
100,0.075,A,0.30789501545807046,0.10729979286478912
100,0.075,T,0.2673607105779213,0.14242202041852337
100,0.1,F1,0.4450052210233205,0.13161750652991022
100,0.1,F2,0.32022923249959834,0.011964626322177874
100,0.1,F3,0.3187038556193601,0.027884129162753735
100,0.1,F4,0.301242422423624,0.020861022825772846
100,0.1,F5,0.3182449023166435,0.020189239740345477
100,0.1,F6,0.2181388903146333,0.363229861966172
100,0.1,F7,0.27777484562199817,0.09624158157723228
100,0.1,F8,0.25881583580663015,0.256012084592145
100,0.1,A,0.307269400703226,0.11600000658956368
100,0.1,T,0.2676779328642288,0.1485137345591968
100,0.25,F1,0.4396681749622926,0.1381474167038288
100,0.25,F2,0.3195329655615661,0.014218831281428868
100,0.25,F3,0.32188269073010667,0.034096655349273974
100,0.25,F4,0.3048436468399256,0.04767408263507655
100,0.25,F5,0.3169638091171133,0.021014413026735568
100,0.25,F6,0.21926807986449726,0.3634242758084376
100,0.25,F7,0.28447775373410034,0.10645231370845099
100,0.25,F8,0.25786005332260176,0.2829607250755287
100,0.25,A,0.30806214676652544,0.12599858919859513
100,0.25,T,0.26744722574691426,0.1531107225449828
